ObjSize, Workers, WriteBytes, WriteBW, WriteIOPs, ReadBytes, ReadBW, ReadIOPs, WriteRespTime, ReadRespTime, WriteProcTime, ReadProcTime
0004K, 0024,     29531556,   164075,        41,      93267500,   518185,       129,       24,        7,       24,        7
0004K, 0048,     41499452,   230603,        57,     197822333,  1099083,       274,       34,        7,       34,        5
0004K, 0096,     54891234,   305024,        76,     216970333,  1206448,       301,       51,       13,       51,       11
0004K, 0192,     56585796,   314492,        79,     112890833,   627872,       156,      347,       51,      347,       50
0004K, 0384,     66022206,   367963,        92,     102267666,   568218,       142,      172,      112,      172,      112
0004K, 0576,     67177433,   377274,        95,      68108000,   394840,        98,      252,     1236,      252,     1236
0004K, 0768,     67422093,   384852,        97,      98036833,   552211,       138,      328,      231,      328,      231
0004K, 0960,     67483394,   394319,        99,      97238666,   549212,       137,      397,      291,      397,      291
0004K, 1152,     68436025,   399430,       101,      96524333,   545490,       136,      471,      352,      471,      351
0004K, 1344,     67318744,   388078,        98,      95794000,   539686,       134,      563,      415,      563,      414
0004K, 1536,     68530236,   393045,        99,      95347666,   538688,       134,      639,      475,      638,      475
0004K, 1728,     68565804,   392296,        99,      94974333,   534676,       133,      719,      538,      719,      538
0008K, 0024,     58706400,   326169,        40,     180314666,  1001815,       125,       24,        7,       24,        7
0008K, 0048,     82569328,   458801,        57,     354546666,  1969904,       246,       34,        8,       34,        6
0008K, 0096,    107632696,   598130,        76,     367711333,  2043576,       255,       52,       15,       52,       14
0008K, 0192,    123704752,   687612,        88,     221668333,  1233857,       154,       90,       51,       90,       51
0008K, 0384,    126619296,   714236,        92,     203331000,  1131813,       141,      174,      113,      174,      112
0008K, 0576,    129996088,   728173,        94,     198513000,  1109877,       138,      255,      173,      255,      172
0008K, 0768,    130933314,   763838,        99,     195980666,  1102934,       137,      322,      232,      322,      231
0008K, 0960,    131753218,   759284,        98,     194484000,  1095560,       136,      403,      292,      403,      291
0008K, 1152,    132886856,   774116,       100,     155767000,  1082547,       135,      471,      354,      471,      354
0008K, 1344,    132373352,   760931,        99,     191367666,  1082305,       135,      558,      414,      558,      413
0008K, 1536,    132740381,   761581,        99,     190805333,  1074702,       134,      637,      476,      637,      476
0008K, 1728,    130762592,   808820,       106,     189481000,  1064446,       133,      677,      541,      677,      540
0016K, 0024,    116563920,   647628,        40,     321634666,  1786919,       111,       24,        8,       24,        8
0016K, 0048,    162929386,   905276,        57,     723046000,  4353851,       272,       34,        9,       34,        9
0016K, 0096,    213304784,  1185380,        76,     758854000,  4216308,       263,       52,       15,       52,       15
0016K, 0192,    246752650,  1371573,        88,     436691333,  2428274,       151,       89,       52,       89,       52
0016K, 0384,    254632250,  1431393,        93,     407822666,  2268182,       141,      170,      112,      170,      112
0016K, 0576,    257527242,  1459668,        95,     393808666,  2193508,       137,      250,      175,      250,      174
0016K, 0768,    257667306,  1507547,        99,     389156666,  2178532,       136,      320,      235,      320,      235
0016K, 0960,    260637317,  1521294,       100,     386067333,  2164302,       135,      394,      295,      394,      295
0016K, 1152,    260872522,  1504698,        99,     383239333,  2153144,       134,      479,      356,      478,      356
0016K, 1344,    261799226,  1504020,        99,     381090000,  2143096,       133,      557,      418,      557,      418
0016K, 1536,    264318906,  1525750,       101,     379336000,  2135207,       133,      626,      479,      626,      479
0016K, 1728,    262099472,  1497642,        99,     378283333,  2123797,       132,      714,      542,      714,      542
0032K, 0024,    232437674,  1291408,        40,     460301333,  2557338,        79,       24,       12,       24,       12
0032K, 0048,    326977760,  1816816,        57,     806708000,  4482144,       140,       34,       14,       34,       14
0032K, 0096,    425035744,  2361991,        76,    1212601333,  7675354,       239,       52,       20,       52,       20
0032K, 0192,    496949642,  2762042,        90,     854360000,  4747645,       148,       88,       53,       88,       53
0032K, 0384,    505472458,  2815987,        92,     807536000,  4488130,       140,      172,      114,      172,      113
0032K, 0576,    510032789,  2860130,        94,     780765333,  4348801,       135,      254,      176,      254,      176
0032K, 0768,    510284288,  2971252,        98,     773084000,  4312447,       134,      324,      237,      324,      237
