Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,4032,258048000,187.97,187.54,5.32,340330.8,100%
prepare,write,4032,258048000,190.59,190.15,5.24,335650.8,100%
prepare,write,4032,258048000,165.28,164.82,6.05,387051.49,100%
prepare,write,4032,258048000,187.73,187.27,5.32,340775.29,100%
prepare,write,4032,258048000,195.1,194.66,5.12,327924.85,100%
prepare,write,4032,258048000,189.17,188.72,5.28,338192.97,100%
prepare,write,4032,258048000,196.15,195.71,5.1,326154.22,100%
prepare,write,4032,258048000,194.59,194.14,5.14,328747.86,100%
prepare,write,4032,258048000,189.86,189.42,5.26,336958.22,100%
prepare,write,4032,258048000,191.83,191.41,5.21,333496.17,100%
prepare,write,4032,258048000,159.89,159.45,6.25,400109.16,100%
prepare,write,4032,258048000,194.21,193.77,5.15,329405.46,100%
prepare,write,4032,258048000,161.21,160.77,6.2,396818.05,100%
prepare,write,4032,258048000,193.35,192.91,5.17,330881.67,100%
prepare,write,4032,258048000,198.86,198.42,5.03,321699.45,100%
prepare,write,4032,258048000,200.53,200.09,4.99,319046.11,100%
prepare,write,4032,258048000,176.2,175.75,5.67,363067.43,100%
prepare,write,4032,258048000,168.4,167.96,5.94,379869.48,100%
prepare,write,4032,258048000,181.94,181.5,5.49,351619.12,100%
prepare,write,4032,258048000,177.33,176.86,5.64,360749.38,100%
prepare,write,4032,258048000,175.63,175.18,5.69,364256.95,100%
prepare,write,4032,258048000,187.66,187.21,5.33,340897.74,100%
prepare,write,4032,258048000,187.27,186.82,5.34,341623.44,100%
prepare,write,4032,258048000,179.84,179.4,5.56,355725.14,100%
prepare,write,4032,258048000,177.81,177.36,5.62,359798.22,100%
prepare,write,4032,258048000,189.01,188.56,5.29,338470.66,100%
prepare,write,4032,258048000,163.31,162.87,6.12,391713.02,100%
prepare,write,4032,258048000,182.24,181.8,5.48,351024.58,100%
prepare,write,4032,258048000,171.98,171.53,5.81,371953.04,100%
prepare,write,4032,258048000,166.61,166.16,6,383963.43,100%
prepare,write,4032,258048000,167.47,167.03,5.97,381974.17,100%
prepare,write,4032,258048000,173.17,172.72,5.77,369412.07,100%
prepare,write,4032,258048000,195.61,195.21,5.11,327082.74,100%
prepare,write,4032,258048000,197.57,197.18,5.06,323828.6,100%
prepare,write,4032,258048000,196.59,196.19,5.09,325447.94,100%
prepare,write,4032,258048000,197.15,196.76,5.07,324514.39,100%
prepare,write,4032,258048000,192.27,191.89,5.2,332739.33,100%
prepare,write,4032,258048000,199.75,199.34,5,320272.06,100%
prepare,write,4032,258048000,195.98,195.59,5.1,326444.69,100%
prepare,write,4032,258048000,198.97,198.56,5.02,321552.74,100%
prepare,write,3840,245760000,190.65,190.26,5.24,335577.71,100%
prepare,write,3840,245760000,196.84,196.45,5.08,325023.9,100%
prepare,write,3840,245760000,162.13,161.75,6.16,394551.16,100%
prepare,write,3840,245760000,197.63,197.25,5.06,323724.52,100%
prepare,write,3840,245760000,178.43,178.05,5.6,358547.08,100%
prepare,write,3840,245760000,190.7,190.29,5.24,335496.17,100%
prepare,write,3840,245760000,164.23,163.83,6.09,389546.16,100%
prepare,write,3840,245760000,159.84,159.44,6.25,400222.13,100%
