Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
cleanup,delete,4032,0,72.97,72.97,13.7,0,100%
cleanup,delete,4032,0,77.59,77.59,12.89,0,100%
cleanup,delete,4032,0,80.21,80.21,12.47,0,100%
cleanup,delete,4032,0,77.95,77.95,12.83,0,100%
cleanup,delete,4032,0,105.59,105.59,9.47,0,100%
cleanup,delete,4032,0,95.81,95.81,10.44,0,100%
cleanup,delete,4032,0,83.93,83.93,11.91,0,100%
cleanup,delete,4032,0,83.17,83.17,12.02,0,100%
cleanup,delete,4032,0,95.35,95.35,10.49,0,100%
cleanup,delete,4032,0,78.74,78.74,12.7,0,100%
cleanup,delete,4032,0,93.1,93.1,10.74,0,100%
cleanup,delete,4032,0,88.01,88.01,11.36,0,100%
cleanup,delete,4032,0,99.34,99.34,10.07,0,100%
cleanup,delete,4032,0,94.06,94.06,10.63,0,100%
cleanup,delete,4032,0,83.55,83.55,11.97,0,100%
cleanup,delete,4032,0,94.74,94.74,10.55,0,100%
cleanup,delete,4032,0,88.38,88.38,11.31,0,100%
cleanup,delete,4032,0,88.99,88.99,11.24,0,100%
cleanup,delete,4032,0,93.65,93.65,10.68,0,100%
cleanup,delete,4032,0,90.89,90.89,11,0,100%
cleanup,delete,4032,0,77.11,77.11,12.97,0,100%
cleanup,delete,4032,0,91.72,91.72,10.9,0,100%
cleanup,delete,4032,0,102.47,102.47,9.76,0,100%
cleanup,delete,4032,0,92.56,92.56,10.8,0,100%
cleanup,delete,4032,0,104.99,104.99,9.52,0,100%
cleanup,delete,4032,0,101.26,101.26,9.87,0,100%
cleanup,delete,4032,0,82.39,82.39,12.14,0,100%
cleanup,delete,4032,0,89.69,89.69,11.15,0,100%
cleanup,delete,4032,0,91.38,91.38,10.94,0,100%
cleanup,delete,4032,0,90.33,90.33,11.07,0,100%
cleanup,delete,4032,0,81.54,81.54,12.26,0,100%
cleanup,delete,4032,0,80.89,80.89,12.36,0,100%
cleanup,delete,4032,0,100.62,100.62,9.94,0,100%
cleanup,delete,4032,0,98.91,98.91,10.11,0,100%
cleanup,delete,4032,0,100.07,100.07,9.99,0,100%
cleanup,delete,4032,0,100.92,100.92,9.91,0,100%
cleanup,delete,4032,0,96.16,96.16,10.4,0,100%
cleanup,delete,4032,0,101.84,101.84,9.82,0,100%
cleanup,delete,4032,0,97.55,97.55,10.25,0,100%
cleanup,delete,4032,0,99.74,99.74,10.03,0,100%
cleanup,delete,3840,0,88.59,88.59,11.29,0,100%
cleanup,delete,3840,0,69.38,69.38,14.41,0,100%
cleanup,delete,3840,0,89.25,89.25,11.2,0,100%
cleanup,delete,3840,0,89.63,89.63,11.16,0,100%
cleanup,delete,3840,0,88.97,88.97,11.24,0,100%
cleanup,delete,3840,0,66.95,66.95,14.94,0,100%
cleanup,delete,3840,0,90.15,90.15,11.09,0,100%
cleanup,delete,3840,0,90.56,90.56,11.04,0,100%
cleanup,delete,24822,0,45.67,45.67,21.89,0,100%
cleanup,delete,24822,0,46.43,46.43,21.53,0,100%
cleanup,delete,24822,0,46.75,46.75,21.39,0,100%
cleanup,delete,24822,0,46.39,46.39,21.55,0,100%
cleanup,delete,24822,0,51.18,51.18,19.53,0,100%
cleanup,delete,24822,0,49.6,49.6,20.15,0,100%
cleanup,delete,24822,0,47.46,47.46,21.06,0,100%
cleanup,delete,24822,0,47.34,47.34,21.12,0,100%
cleanup,delete,24822,0,49.25,49.25,20.3,0,100%
cleanup,delete,24822,0,46.51,46.51,21.5,0,100%
cleanup,delete,24822,0,48.97,48.97,20.41,0,100%
cleanup,delete,24822,0,48.14,48.14,20.77,0,100%
cleanup,delete,24822,0,49.88,49.88,20.05,0,100%
cleanup,delete,24822,0,49.03,49.03,20.39,0,100%
cleanup,delete,24822,0,47.39,47.39,21.09,0,100%
cleanup,delete,24822,0,49.24,49.24,20.3,0,100%
cleanup,delete,24822,0,48.11,48.11,20.77,0,100%
cleanup,delete,24822,0,48.21,48.21,20.73,0,100%
cleanup,delete,24822,0,49.16,49.16,20.34,0,100%
cleanup,delete,24822,0,48.71,48.71,20.52,0,100%
cleanup,delete,24822,0,46.34,46.34,21.57,0,100%
cleanup,delete,24822,0,48.75,48.75,20.5,0,100%
cleanup,delete,24822,0,50.48,50.48,19.8,0,100%
cleanup,delete,24822,0,48.87,48.87,20.45,0,100%
cleanup,delete,24822,0,50.94,50.94,19.63,0,100%
cleanup,delete,24822,0,50.34,50.34,19.86,0,100%
cleanup,delete,24822,0,47.11,47.11,21.21,0,100%
cleanup,delete,24822,0,48.31,48.31,20.69,0,100%
cleanup,delete,24822,0,48.77,48.77,20.5,0,100%
cleanup,delete,24822,0,48.59,48.59,20.57,0,100%
cleanup,delete,24822,0,47.17,47.17,21.2,0,100%
cleanup,delete,24822,0,47.07,47.07,21.24,0,100%
cleanup,delete,24822,0,50.07,50.07,19.97,0,100%
cleanup,delete,24822,0,49.79,49.79,20.08,0,100%
cleanup,delete,24822,0,49.95,49.95,20.02,0,100%
cleanup,delete,24822,0,50.08,50.08,19.97,0,100%
cleanup,delete,24822,0,49.43,49.43,20.23,0,100%
cleanup,delete,24822,0,50.36,50.36,19.85,0,100%
cleanup,delete,24822,0,49.52,49.52,20.19,0,100%
cleanup,delete,24822,0,49.87,49.87,20.05,0,100%
cleanup,delete,23640,0,47.98,47.98,20.84,0,100%
cleanup,delete,23640,0,44.81,44.81,22.32,0,100%
cleanup,delete,23640,0,48.09,48.09,20.79,0,100%
cleanup,delete,23640,0,48.14,48.14,20.77,0,100%
cleanup,delete,23640,0,48.09,48.09,20.79,0,100%
