Timestamp,Op-Count,,Byte-Count,,Avg-ResTime,,Avg-ProcTime,,Throughput,,Bandwidth,,Succ-Ratio,,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
19:53:27,35,33,0,0,1015.03,1083.48,1015.03,1083.48,6.9,6.46,0,0,100%,100%,0,0,0
19:53:32,215,213,0,0,1089.37,1099.84,1089.37,1099.84,37.63,37.24,0,0,100%,100%,1,1,1
19:53:37,208,203,0,0,1305.23,1339.44,1305.23,1339.44,42.06,41.01,0,0,100%,100%,2,2,2
19:53:42,211,198,0,0,1268.01,1312.19,1268.01,1312.19,37.78,36.56,0,0,100%,100%,3,3,3
19:53:47,209,199,0,0,1338.87,1312.48,1338.87,1312.48,35.85,36.58,0,0,100%,100%,4,4,4
19:53:52,257,248,0,0,942.61,1080.69,942.61,1080.69,46.07,45.07,0,0,100%,100%,5,5,5
19:53:57,181,202,0,0,1295.57,1138.95,1295.57,1138.95,33.54,37.08,0,0,100%,100%,6,6,6
19:54:02,233,192,0,0,832.6,1345.74,832.6,1345.74,48.28,38.56,0,0,100%,100%,7,7,7
19:54:07,253,151,0,0,890.57,1449.96,890.57,1449.96,54.19,27.67,0,0,100%,100%,8,8,8
19:54:12,253,152,0,0,1067.7,1486.7,1067.7,1486.7,52.73,33.07,0,0,100%,100%,9,9,9
19:54:17,501,254,0,0,495.53,900.55,495.53,900.55,97.44,51.94,0,0,100%,100%,10,10,10
19:54:22,637,377,0,0,411.95,577.23,411.95,577.23,122.09,79.12,0,0,100%,100%,11,11,11
19:54:27,660,302,0,0,352,715.35,352,715.35,129.46,58.47,0,0,100%,100%,12,12,12
19:54:32,679,305,0,0,304.18,839.84,304.18,839.84,140.46,58.56,0,0,100%,100%,13,13,13
19:54:37,809,483,0,0,330.1,615.48,330.1,615.48,157.56,95.93,0,0,100%,100%,14,14,14
19:54:42,1172,688,0,0,212.7,332.07,212.7,332.07,230.92,135.85,0,0,100%,100%,15,15,15
19:54:47,1059,816,0,0,209,311.04,209,311.04,208.55,164.52,0,0,100%,100%,16,16,16
19:54:52,1800,942,0,0,141.3,239.14,141.3,239.14,375.84,187.23,0,0,100%,100%,17,17,17
19:54:57,1050,967,0,0,235.27,230.24,235.27,230.24,205.25,194.58,0,0,100%,100%,18,18,18
19:55:02,1222,1075,0,0,180.71,236.47,180.71,236.47,240.38,213.93,0,0,100%,100%,19,19,19
19:55:07,1271,1310,0,0,191.63,197.47,191.63,197.47,268.58,265.07,0,0,100%,100%,20,20,20
19:55:12,1967,1457,0,0,127.74,164.26,127.74,164.26,401.26,287.45,0,0,100%,100%,21,21,21
19:55:17,1928,1658,0,0,131.41,148.05,131.41,148.05,385.79,327.77,0,0,100%,100%,22,22,22
19:55:22,1998,1667,0,0,113.13,130.05,113.13,130.05,392.46,329.91,0,0,100%,100%,23,23,23
19:55:27,2451,1891,0,0,96.61,128.6,96.61,128.6,484.64,382.2,0,0,100%,100%,24,24,24
19:55:32,3001,1716,0,0,81.27,136.63,81.27,136.63,596.12,337.97,0,0,100%,100%,25,25,25
19:55:37,4074,1886,0,0,60.52,130.36,60.52,130.36,801.73,388.72,0,0,100%,100%,26,26,26
19:55:42,2583,2107,0,0,93.34,121.26,93.34,121.26,508.54,414.58,0,0,100%,100%,27,27,27
19:55:47,2575,2199,0,0,91.57,111.85,91.57,111.85,503.8,434.24,0,0,100%,100%,28,28,28
19:55:52,2739,2352,0,0,87.39,102.49,87.39,102.49,566.09,464.92,0,0,100%,100%,29,29,29
19:55:57,2118,2206,0,0,108,110.26,108,110.26,415.47,432.76,0,0,100%,100%,30,30,30
19:56:02,1523,1386,0,0,153,153.91,153,153.91,310.58,281.67,0,0,100%,100%,31,31,31
