Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
02:00:55,17,139264000,1500.18,1443.06,3.33,27294388.24,100%,0,0,0
02:01:00,164,1343488000,1577.15,1519.76,27.3,223672561.71,100%,1,1,1
02:01:05,144,1179648000,2043.75,1993.35,26.04,213286050.32,100%,2,2,2
02:01:10,144,1179648000,2062.48,2012.94,23.31,190973097.82,100%,3,3,3
02:01:15,106,868352000,2070.99,2020.59,17.43,142805876.99,100%,4,4,4
02:01:20,84,688128000,2116.43,2066.6,18.78,153842734.5,100%,5,5,5
02:01:25,96,786432000,2020.4,1970.58,25.7,210509575.2,100%,6,6,6
02:01:30,144,1179648000,2066.91,2017.26,30.97,253668534.54,100%,7,7,7
02:01:35,192,1572864000,1451.75,1400.34,34.31,281034422.33,100%,8,8,8
02:01:40,155,1269760000,1731.91,1680.1,25.42,208216191.33,100%,9,9,9
02:01:45,116,950272000,2017.9,1967.68,20.9,171186958,100%,10,10,10
02:01:50,90,737280000,1821.92,1772.14,20.65,169146477.92,100%,11,11,11
02:01:55,144,1179648000,1538.16,1488.92,34.45,282202000.89,100%,12,12,12
02:02:00,175,1433600000,1591.76,1541.97,35.5,290836857.85,100%,13,13,13
02:02:05,211,1728512000,1341.41,1291.3,37.68,308636498.55,100%,14,14,14
02:02:10,227,1859584000,1154.1,1103.52,42.69,349684549.09,100%,15,15,15
02:02:15,192,1572864000,939.65,888.49,36.92,302417487.23,100%,16,16,16
02:02:20,252,2064384000,951.02,899.84,54.12,443312364.79,100%,17,17,17
02:02:25,225,1843200000,1113.58,1062.7,44.63,365617231.94,100%,18,18,18
02:02:30,172,1409024000,1338.57,1287.02,34.54,282939580.55,100%,19,19,19
02:02:35,235,1925120000,1034.46,982.88,50.67,415101959.56,100%,20,20,20
02:02:40,243,1990656000,1114.65,1063.12,47.74,391102384.47,100%,21,21,21
02:02:45,278,2277376000,809.38,756.7,54.27,444582410.12,100%,22,22,22
02:02:50,246,2015232000,862.44,808.7,50.84,416504396.31,100%,23,23,23
02:02:55,325,2662400000,805.11,750.62,72.35,592697577.97,100%,24,24,24
02:03:00,348,2850816000,690.88,636.93,70.15,574684252.01,100%,25,25,25
02:03:05,332,2719744000,711.66,657.76,64.14,525421503.8,100%,26,26,26
02:03:10,319,2613248000,739.67,685.97,65.42,535908080.86,100%,27,27,27
02:03:15,332,2719744000,683.45,630.27,66.89,547992891.93,100%,28,28,28
02:03:20,359,2940928000,726.18,671.77,71.62,586730365.25,100%,29,29,29
02:03:25,366,2998272000,657.72,603.06,73.3,600460004.16,100%,30,30,30
02:03:30,393,3219456000,622.02,567.25,78,638942078.87,100%,31,31,31
02:03:35,406,3325952000,598.47,543.66,79.92,654677864.3,100%,32,32,32
02:03:40,410,3358720000,590.27,535,79.87,654277039.06,100%,33,33,33
02:03:45,407,3334144000,557.25,501.13,80.79,661811740.56,100%,34,34,34
02:03:50,430,3522560000,528.59,473.45,87.57,717360697.31,100%,35,35,35
02:03:55,431,3530752000,605.02,549.16,84.35,690989075.62,100%,36,36,36
02:04:00,443,3629056000,562.3,506.97,89.6,734008031.25,100%,37,37,37
02:04:05,464,3801088000,526.84,470.82,92.32,756252236.71,100%,38,38,38
02:04:10,462,3784704000,514.13,458.85,92.14,754845431.6,100%,39,39,39
02:04:15,499,4087808000,515.67,459.83,97.02,794783223.76,100%,40,40,40
02:04:20,448,3670016000,491.21,434.76,85.94,704035280.9,100%,41,41,41
02:04:25,491,4022272000,503.97,447.19,103.13,844849089.7,100%,42,42,42
02:04:30,470,3850240000,511.67,456.01,92.68,759266181.54,100%,43,43,43
02:04:35,468,3833856000,498.75,442.63,93.44,765439080.59,100%,44,44,44
02:04:40,505,4136960000,493.06,437.09,103.04,844089130.44,100%,45,45,45
02:04:45,497,4071424000,476.55,420.62,97.63,799772347.37,100%,46,46,46
02:04:50,487,3989504000,489.04,433.22,98.01,802861251.21,100%,47,47,47
02:04:55,491,4022272000,485.1,429.16,99.55,815536223.44,100%,48,48,48
02:05:00,502,4112384000,473.12,417.11,101.74,833433239.5,100%,49,49,49
02:05:05,533,4366336000,470.02,414.56,105.61,865162928.86,100%,50,50,50
02:05:10,443,3629056000,478.78,423.4,85.03,696537331.78,100%,51,51,51
02:05:15,520,4259840000,448.9,393,116.9,957644872.98,100%,52,52,52
02:05:20,492,4030464000,477.24,421.51,98.03,803092833.33,100%,53,53,53
02:05:25,528,4325376000,483.9,428.29,108.13,885802942.17,100%,54,54,54
02:05:30,528,4325376000,455.24,399.25,101.2,829035279.94,100%,55,55,55
02:05:35,530,4341760000,477.37,422.02,104.69,857604603.7,100%,56,56,56
02:05:40,532,4358144000,454.27,398.63,101.42,830839434.89,100%,57,57,57
02:05:45,522,4276224000,454.43,398.08,103.18,845273913.63,100%,58,58,58
02:05:50,559,4579328000,454.46,397.37,110.89,908421891.59,100%,59,59,59
02:05:55,547,4481024000,462.9,406.46,104.26,854063700.04,100%,60,60,60
02:06:00,529,4333568000,467.35,411.79,100.72,825105254.49,100%,61,61,61
02:06:05,523,4284416000,459.06,402.79,102.76,841775861.38,100%,62,62,62
02:06:10,552,4521984000,445.86,389.2,110.38,904200676.02,100%,63,63,63
02:06:15,523,4284416000,440.55,384.56,102.63,840717044.47,100%,64,64,64
02:06:20,521,4268032000,428.47,372.04,109.43,896477323.32,100%,65,65,65
02:06:25,560,4587520000,426.67,370.61,117.91,965925346.72,100%,66,66,66
02:06:30,556,4554752000,414.07,358.1,110.83,907885600.57,100%,67,67,67
02:06:35,602,4931584000,408.68,351.75,125.27,1026184901.86,100%,68,68,68
02:06:40,555,4546560000,413.36,356.94,109.23,894832205.43,100%,69,69,69
02:06:45,594,4866048000,404.72,348.05,123.81,1014287066.39,100%,70,70,70
02:06:50,568,4653056000,411.67,355.18,113.76,931885220.72,100%,71,71,71
02:06:55,573,4694016000,410.94,355.11,116.67,955757103.28,100%,72,72,72
02:07:00,564,4620288000,415.68,359.87,115.32,944729132.64,100%,73,73,73
02:07:05,587,4808704000,419.31,363.37,118.61,971657824.93,100%,74,74,74
02:07:10,590,4833280000,412.93,356.08,116.34,953054156.06,100%,75,75,75
02:07:15,616,5046272000,397.98,341.25,120.57,987698316.67,100%,76,76,76
02:07:20,571,4677632000,401.92,345.1,111.79,915796308.56,100%,77,77,77
02:07:25,595,4874240000,409.22,353.03,123.41,1010977317.43,100%,78,78,78
02:07:30,607,4972544000,406.1,348.73,118.17,968082764.44,100%,79,79,79
02:07:35,596,4882432000,407.71,351.32,117.82,965213191.92,100%,80,80,80
02:07:40,606,4964352000,405.29,348.59,118.1,967439433.59,100%,81,81,81
02:07:45,614,5029888000,406.95,351.31,120.34,985810656.93,100%,82,82,82
02:07:50,599,4907008000,418.57,362.61,114.73,939884560.72,100%,83,83,83
02:07:55,586,4800512000,407.99,351,112.81,924177605.71,100%,84,84,84
02:08:00,575,4710400000,410,353.63,114.31,936437401.01,100%,85,85,85
02:08:05,613,5021696000,405.75,348.58,125.97,1031972375.45,100%,86,86,86
02:08:10,619,5070848000,404.87,348.36,118.65,971958664.22,100%,87,87,87
02:08:15,557,4562944000,411.33,354.98,107.01,876665814.08,100%,88,88,88
02:08:20,582,4767744000,403.05,347.21,122.18,1000884253.83,100%,89,89,89
02:08:25,556,4554752000,401.76,345.96,115.21,943797354.32,100%,90,90,90
02:08:30,596,4882432000,410.97,354.71,126.27,1034404004.69,100%,91,91,91
02:08:35,605,4956160000,403.8,347.55,118.58,971434545.4,100%,92,92,92
02:08:40,546,4472832000,409.33,353.21,107.37,879587856.93,100%,93,93,93
02:08:45,595,4874240000,402.61,345.91,125.89,1031294816.57,100%,94,94,94
02:08:50,570,4669440000,411.31,354.22,113.72,931606900.24,100%,95,95,95
02:08:55,610,4997120000,402.27,346.2,124.16,1017086049.99,100%,96,96,96
02:09:00,591,4841472000,404.82,347.63,116.08,950893317.46,100%,97,97,97
02:09:05,571,4677632000,400.87,344.13,114.32,936511640.08,100%,98,98,98
02:09:10,639,5234688000,389.51,332.89,133.41,1092860029.45,100%,99,99,99
02:09:15,609,4988928000,401.05,344.14,117.14,959630657.11,100%,100,100,100
02:09:20,602,4931584000,397.88,341.61,118.19,968251642.8,100%,101,101,101
02:09:25,590,4833280000,405.97,349.92,118.44,970270882.92,100%,102,102,102
02:09:30,596,4882432000,404.2,347.46,118.52,970926847.46,100%,103,103,103
02:09:35,611,5005312000,402.03,345.07,121.9,998626810.89,100%,104,104,104
02:09:40,590,4833280000,421.31,364.37,114.25,935896662.31,100%,105,105,105
02:09:45,511,4186112000,460.44,404.18,100.08,819814512.06,100%,106,106,106
02:09:50,558,4571136000,453.38,397.98,113.42,929177025.31,100%,107,107,107
02:09:55,510,4177920000,461.81,405.57,97.69,800311550.97,100%,108,108,108
02:10:00,549,4497408000,450.87,395.06,109.8,899461995.93,100%,109,109,109
02:10:05,578,4734976000,413.95,357.22,111.95,917109263.06,100%,110,110,110
02:10:10,656,5373952000,379.43,322.61,131.94,1080841459.49,100%,111,111,111
02:10:15,593,4857856000,385.18,328.99,114.12,934875748.74,100%,112,112,112
