DriverCount, 24
OSD_Count, 36

ObjSize, Workers, WriteBytes, DriverWriteBW, WriteBW, DriverWriteIOPs, WriteIOPs, ReadBytes, DriverReadBW, ReadBW,DriverReadIOPs, ReadIOPs, WriteRespTime, ReadRespTime, WriteProcTime, ReadProcTime
0004K, 0024,     33273281,   184867, ,        46,       46,     39483500,   219369, ,        54,       54,       21,       18,       21,       18
0004K, 0048,     47027577,   261290, ,        65,       65,     65022833,   361261, ,        90,       90,       30,       22,       30,       22
0004K, 0096,     62650154,   348143, ,        88,       88,     87757500,   487686, ,       121,      121,       45,       32,       45,       32
0004K, 0192,     74448134,   413769, ,       105,      105,     92850833,   518597, ,       129,      129,       76,       61,       76,       61
0004K, 0384,     76809109,   435249, ,       113,      113,     92260833,   513435, ,       128,      128,      141,      124,      141,      124
0004K, 0576,     70068765,   546186, ,       138,      138,     91151333,   507032, ,       126,      126,      173,      189,      173,      189
0004K, 0768,     78128422,   461508, ,       116,      116,     89537500,   498602, ,       124,      124,      273,      256,      273,      256
0004K, 0960,     78978013,   469873, ,       118,      118,     87532833,   488356, ,       122,      122,      335,      327,      335,      327
0004K, 1152,     78573150,   456541, ,       115,      115,     87789666,   489924, ,       122,      122,      413,      391,      413,      391
0008K, 0024,     65489216,   363859, ,        45,       45,     70620333,   392360, ,        49,       49,       21,       20,       21,       20
0008K, 0048,     93525325,   519648, ,        65,       65,    108287666,   601638, ,        75,       75,       30,       26,       30,       26
0008K, 0096,    122847656,   682657, ,        86,       86,    144595666,   803431, ,       100,      100,       46,       39,       46,       39
0008K, 0192,    145916858,   810995, ,       103,      103,    163254000,   909471, ,       113,      113,       76,       70,       76,       70
0008K, 0384,    150837133,   847626, ,       109,      109,    172779333,   974303, ,       121,      121,      146,      131,      146,      131
0008K, 0576,    151155352,   897249, ,       115,      115,    170982000,   968676, ,       121,      121,      206,      198,      206,      198
0008K, 0768,    152460346,   900042, ,       116,      116,    168475666,   942423, ,       117,      117,      273,      271,      273,      271
0008K, 0960,    152776752,   906803, ,       117,      117,    166280000,   931036, ,       116,      116,      339,      343,      339,      343
0008K, 1152,    152899002,   894653, ,       116,      116,    160739666,   926393, ,       115,      115,      410,      414,      410,      414
0016K, 0024,    130066117,   722665, ,        45,       45,    136147333,   756434, ,        47,       47,       21,       21,       21,       21
0016K, 0048,    184395744,  1024535, ,        65,       65,    208942666,  1160879, ,        72,       72,       30,       27,       30,       27
0016K, 0096,    242974026,  1350127, ,        86,       86,    278880000,  1549619, ,        96,       96,       46,       41,       46,       41
0016K, 0192,    289660869,  1610020, ,       104,      104,    318382000,  1772446, ,       110,      110,       76,       72,       76,       72
0016K, 0384,    297495690,  1674114, ,       109,      109,    338838666,  1928370, ,       120,      120,      146,      134,      146,      133
0016K, 0576,    299677829,  1793122, ,       117,      117,    342819333,  1942678, ,       121,      121,      203,      198,      203,      197
0016K, 0768,    299877898,  1769720, ,       116,      116,    337681333,  1889620, ,       118,      118,      275,      271,      275,      271
0016K, 0960,    295473728,  1827835, ,       120,      120,    328755333,  1849466, ,       115,      115,      332,      345,      332,      345
0016K, 1152,    303953413,  1785415, ,       118,      118,    328942666,  1850465, ,       115,      115,      404,      415,      404,      415
0064K, 0024,    402383274,  3308479, ,        51,       51,    539456000,  2997242, ,        46,       46,       19,       21,       19,       21
0064K, 0048,    736901418,  4094371, ,        65,       65,    821754666,  4565688, ,        71,       71,       30,       28,       30,       27
0064K, 0096,    967033429,  5373593, ,        86,       86,   1094853333,  6083608, ,        95,       95,       46,       42,       45,       41
0064K, 0192,   1151362709,  6399233, ,       104,      104,   1249677333,  6958798, ,       108,      108,       76,       73,       76,       73
0064K, 0384,   1177928725,  6627681, ,       109,      109,   1340797333,  7595668, ,       118,      118,      146,      135,      146,      134
0064K, 0576,   1170562560,  6966305, ,       115,      115,   1367325333,  7795984, ,       121,      121,      207,      197,      207,      197
0064K, 0768,   1182105685,  6983806, ,       115,      115,   1318445333,  7427792, ,       116,      116,      274,      276,      274,      275
0064K, 0960,   1188686997,  7109525, ,       118,      118,   1343976000,  7487227, ,       116,      116,      337,      342,      336,      341
0064K, 1152,   1192212906,  6915526, ,       115,      115,   1302274666,  7304138, ,       114,      114,      412,      420,      411,      420
0256K, 0024,   1910007978, 10611989, ,        41,       41,   2059637333, 11443196, ,        44,       44,       23,       22,       22,       21
0256K, 0048,   2852400298, 15850702, ,        63,       63,   3159370666, 17553984, ,        68,       68,       31,       29,       29,       28
0256K, 0096,   3808778752, 21164766, ,        85,       85,   4243925333, 23582317, ,        92,       92,       46,       43,       45,       42
0256K, 0192,   4546426965, 25272748, ,       103,      103,   4608330666, 30162972, ,       117,      117,       77,       68,       75,       67
0256K, 0384,   4670480384, 26244035, ,       108,      108,   5286250666, 29660653, ,       115,      115,      147,      138,      146,      137
0256K, 0576,   4664879445, 27329639, ,       113,      113,   5451328000, 30958762, ,       120,      120,      211,      199,      209,      198
0256K, 0768,   4723746816, 27772095, ,       115,      115,   5213344000, 29570029, ,       115,      115,      275,      277,      274,      276
0256K, 0960,   4758028373, 28046531, ,       117,      117,   5073098666, 28937962, ,       113,      113,      339,      353,      337,      352
0256K, 1152,   4724014165, 27471514, ,       115,      115,   5191754666, 29079889, ,       113,      113,      414,      422,      412,      421
1024K, 0024,   5493923328, 30526167, ,        30,       30,   5615530666, 31200374, ,        30,       30,       32,       32,       26,       28
1024K, 0048,   8329343914, 46280854, ,        46,       46,   8501162666, 47234213, ,        46,       46,       43,       43,       36,       38
1024K, 0096,  11293184597, 62758270, ,        63,       63,  11106176000, 61715851, ,        60,       60,       62,       66,       55,       61
1024K, 0192,  13239959040, 86162391, ,        88,       88,  12808618666, 71199642, ,        69,       69,       90,      115,       82,      110
1024K, 0384,  15504399274, 86228492, ,        90,       90,  13556096000, 75735336, ,        73,       73,      177,      216,      169,      211
1024K, 0576,  15664418645, 87562760, ,        92,       92,  13918976000, 79419319, ,        77,       77,      260,      310,      252,      305
1024K, 0768,  15486488064, 88027214, ,        92,       92,  14171306666, 80816075, ,        78,       78,      345,      407,      337,      402
1024K, 0960,  15556580181, 89832753, ,        94,       94,  14082560000, 80429049, ,        78,       78,      422,      508,      414,      503
1024K, 1152,  15676156501, 92425113, ,        97,       97,  14081024000, 79679549, ,        77,       77,      493,      617,      484,      612
4096K, 0024,  11172710400, 62088296, ,        15,       15,  11178325333, 62114821, ,        15,       15,       64,       65,       38,       47
4096K, 0048,  18733491626, 04096883, ,        26,       26,  17190058666, 95522191, ,        23,       23,       75,       85,       46,       66
