config,timestamp,pattern,config,blocksize, filesize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes, read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes, write_bw_mean,write_iops_mean
mdraid4k,1580330540669,,direct-randread-16k,16k,,,,966721536,2683906,2619.779167,163.602778,0,0,0,0
mdraid4k,1580331623620,,direct-randread-1M,1M,,,,43824185344,121648356,118697.619444,115.616667,0,0,0,0
mdraid4k,1580331984699,,direct-randread-2M,2M,,,,66691530752,185083563,180580.8625,87.831944,0,0,0,0
mdraid4k,1580330901627,,direct-randread-32k,32k,,,,1926299648,5348009,5218.775,162.855556,0,0,0,0
mdraid4k,1580329818741,,direct-randread-4k,4k,,,,450535424,1250969,1221.340278,305.295833,0,0,0,0
mdraid4k,1580331262590,,direct-randread-512k,512k,,,,25296371712,70228488,68517.568056,133.516667,0,0,0,0
mdraid4k,1580330179682,,direct-randread-8k,8k,,,,486187008,1349998,1317.304167,164.486111,0,0,0,0
mdraid4k,1580328013624,,direct-randrw-16k,16k,,,,432226304,1200058,1171.098611,72.938889,432209920,1200013,1170.622222,72.908333
mdraid4k,1580329096611,,direct-randrw-1M,1M,,,,20450377728,56772383,55389.547222,53.702778,20472397824,56833513,55432.209722,53.744444
mdraid4k,1580329457681,,direct-randrw-2M,2M,,,,31761367040,88149133,86012.606944,41.593056,31706841088,87997804,85826.890278,41.501389
mdraid4k,1580328374632,,direct-randrw-32k,32k,,,,856424448,2377536,2320.597222,72.205556,856358912,2377354,2319.001389,72.155556
mdraid4k,1580327291667,,direct-randrw-4k,4k,,,,202043392,560994,547.470833,136.729167,200777728,557480,543.994444,135.8625
mdraid4k,1580328735626,,direct-randrw-512k,512k,,,,11635523584,32300172,31525.0125,61.3,11601969152,32207025,31425.779167,61.105556
mdraid4k,1580327652666,,direct-randrw-8k,8k,,,,217145344,602880,588.195833,73.301389,217022464,602538,587.761111,73.248611
mdraid4k,1580333067772,,direct-randwrite-16k,16k,,,,0,0,0,0,792772608,2200764,2148.052778,134.104167
mdraid4k,1580334150829,,direct-randwrite-1M,1M,,,,0,0,0,0,38694551552,107411765,104792.004167,102.023611
mdraid4k,1580334511927,,direct-randwrite-2M,2M,,,,0,0,0,0,61392027648,170394254,166236.075,80.870833
mdraid4k,1580333428783,,direct-randwrite-32k,32k,,,,0,0,0,0,1571618816,4362711,4256.973611,132.752778
mdraid4k,1580332345746,,direct-randwrite-4k,4k,,,,0,0,0,0,371515392,1031517,1007.070833,251.713889
mdraid4k,1580333789805,,direct-randwrite-512k,512k,,,,0,0,0,0,21738553344,60345143,58959.972184,114.856745
mdraid4k,1580332706746,,direct-randwrite-8k,8k,,,,0,0,0,0,399237120,1108376,1081.673611,135.073611
mdraid4k,1580325487412,,direct-read-16k,16k,,,,30176821248,83823804,81807.066667,5112.745833,0,0,0,0
mdraid4k,1580326569800,,direct-read-1M,1M,,,,193220050944,536625473,523697.886111,511.168056,0,0,0,0
mdraid4k,1580326930665,,direct-read-2M,2M,,,,193879605248,538366030,525230.126389,256.216667,0,0,0,0
mdraid4k,1580325848178,,direct-read-32k,32k,,,,50600968192,140556292,137167.695833,4286.322222,0,0,0,0
mdraid4k,1580324765889,,direct-read-4k,4k,,,,17108877312,47524131,46382.608333,11595.5,0,0,0,0
mdraid4k,1580326208954,,direct-read-512k,512k,,,,193379958784,537118808,524071.715278,1023.25,0,0,0,0
mdraid4k,1580325126638,,direct-read-8k,8k,,,,16356909056,45435479,44331.055556,5541.195833,0,0,0,0
mdraid4k,1580322961767,,direct-write-16k,16k,,,,0,0,0,0,20192362496,56088649,54724.205556,3420.081944
mdraid4k,1580324044198,,direct-write-1M,1M,,,,0,0,0,0,192768114688,535373294,522439.526389,509.894444
mdraid4k,1580324405125,,direct-write-2M,2M,,,,0,0,0,0,193342734336,536870772,523897.981944,255.625
mdraid4k,1580323322543,,direct-write-32k,32k,,,,0,0,0,0,39096647680,108599385,105960.741667,3311.136111
mdraid4k,1580322240212,,direct-write-4k,4k,,,,0,0,0,0,6554607616,18206939,17765.902778,4441.354167
mdraid4k,1580323683353,,direct-write-512k,512k,,,,0,0,0,0,193331200000,536983379,523958.041667,1023.052778
mdraid4k,1580322601000,,direct-write-8k,8k,,,,0,0,0,0,10248552448,28467489,27782.347222,3472.604167
