config,timestamp,fio_pattern,ioengine,direct,iodepth,job_name,blocksize,filesize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
mdraid16k,1580385073146,randread,libaio,1,32,direct-randread-16k,16k,,,,1775960064,4930729,4812.727778,300.669444,0,0,0,0
mdraid16k,1580386155967,randread,libaio,1,32,direct-randread-1M,1M,,,,43881857024,121830086,118860.138889,115.7875,0,0,0,0
mdraid16k,1580386517033,randread,libaio,1,32,direct-randread-2M,2M,,,,66555215872,184710899,180208.593056,87.644444,0,0,0,0
mdraid16k,1580385434087,randread,libaio,1,32,direct-randread-32k,32k,,,,1922203648,5336949,5209.469444,162.675,0,0,0,0
mdraid16k,1580384351235,randread,libaio,1,32,direct-randread-4k,4k,,,,449032192,1246792,1217.030556,304.2,0,0,0,0
mdraid16k,1580385795016,randread,libaio,1,32,direct-randread-512k,512k,,,,25310003200,70266722,68546.997222,133.523611,0,0,0,0
mdraid16k,1580384712174,randread,libaio,1,32,direct-randread-8k,8k,,,,898121728,2493930,2434.9125,304.319444,0,0,0,0
mdraid16k,1580382545971,randrw,libaio,1,32,direct-randrw-16k,16k,,,,798736384,2217726,2164.780556,135.104167,793657344,2203624,2150.743056,134.226389
mdraid16k,1580383629048,randrw,libaio,1,32,direct-randrw-1M,1M,,,,20470300672,56823432,55455.441667,53.838889,20489175040,56875825,55483.811111,53.866667
mdraid16k,1580383990220,randrw,libaio,1,32,direct-randrw-2M,2M,,,,31868321792,88432718,86337.852778,41.813889,31826378752,88316328,86133.651389,41.713889
mdraid16k,1580382906973,randrw,libaio,1,32,direct-randrw-32k,32k,,,,856522752,2377908,2321.748611,72.393056,856457216,2377726,2320.183333,72.343056
mdraid16k,1580381824007,randrw,libaio,1,32,direct-randrw-4k,4k,,,,202080256,561022,547.605556,136.776389,200822784,557531,544.129167,135.901389
mdraid16k,1580383268024,randrw,libaio,1,32,direct-randrw-512k,512k,,,,11658592256,32362235,31589.254167,61.4125,11622416384,32261817,31477.348611,61.193056
mdraid16k,1580382185032,randrw,libaio,1,32,direct-randrw-8k,8k,,,,402800640,1118263,1091.654167,136.281944,400138240,1110871,1084.251389,135.356944
mdraid16k,1580387600012,randwrite,libaio,1,32,direct-randwrite-16k,16k,,,,0,0,0,0,1463189504,4062677,3964.509722,247.597222
mdraid16k,1580388683072,randwrite,libaio,1,32,direct-randwrite-1M,1M,,,,0,0,0,0,38632685568,107227531,104666.816667,102.063889
mdraid16k,1580389044208,randwrite,libaio,1,32,direct-randwrite-2M,2M,,,,0,0,0,0,61509468160,170707893,166553.463889,81.023611
mdraid16k,1580387961013,randwrite,libaio,1,32,direct-randwrite-32k,32k,,,,0,0,0,0,1574404096,4370758,4264.854167,133.026389
mdraid16k,1580386878083,randwrite,libaio,1,32,direct-randwrite-4k,4k,,,,0,0,0,0,370393088,1028372,1003.813889,250.865278
mdraid16k,1580388322012,randwrite,libaio,1,32,direct-randwrite-512k,512k,,,,0,0,0,0,21781020672,60465715,58998.304167,114.965278
mdraid16k,1580387239097,randwrite,libaio,1,32,direct-randwrite-8k,8k,,,,0,0,0,0,738893824,2051303,2002.263889,250.143056
mdraid16k,1580380019763,read,libaio,1,32,direct-read-16k,16k,,,,52680474624,146332619,142761.013889,8922.3625,0,0,0,0
mdraid16k,1580381102048,read,libaio,1,32,direct-read-1M,1M,,,,193221099520,536629875,523554.044444,510.909722,0,0,0,0
mdraid16k,1580381462935,read,libaio,1,32,direct-read-2M,2M,,,,193378385920,536975733,523948.997222,255.625,0,0,0,0
mdraid16k,1580380380485,read,libaio,1,32,direct-read-32k,32k,,,,51745030144,143734198,140243.745833,4382.440278,0,0,0,0
mdraid16k,1580379298248,read,libaio,1,32,direct-read-4k,4k,,,,17012518912,47256603,46112.638889,11527.954167,0,0,0,0
mdraid16k,1580380741247,read,libaio,1,32,direct-read-512k,512k,,,,193332248576,536986291,523877.145833,1022.838889,0,0,0,0
mdraid16k,1580379659012,read,libaio,1,32,direct-read-8k,8k,,,,31617933312,87826860,85706.425,10713.158333,0,0,0,0
mdraid16k,1580377494183,write,libaio,1,32,direct-write-16k,16k,,,,0,0,0,0,28597469184,79435428,77500.704167,4843.581944
mdraid16k,1580378576564,write,libaio,1,32,direct-write-1M,1M,,,,0,0,0,0,193062764544,536191623,523126.518056,510.497222
mdraid16k,1580378937470,write,libaio,1,32,direct-write-2M,2M,,,,0,0,0,0,193304985600,536768933,523776.272222,255.556944
mdraid16k,1580377854966,write,libaio,1,32,direct-write-32k,32k,,,,0,0,0,0,38870220800,107971635,105364.909722,3292.529167
mdraid16k,1580376772700,write,libaio,1,32,direct-write-4k,4k,,,,0,0,0,0,6399946752,17777333,17347.363889,4336.641667
mdraid16k,1580378215739,write,libaio,1,32,direct-write-512k,512k,,,,0,0,0,0,193056997376,536220283,523112.676389,1021.311111
mdraid16k,1580377133440,write,libaio,1,32,direct-write-8k,8k,,,,0,0,0,0,13430030336,37305225,36408.059722,4550.877778
