config,timestamp,fio_pattern,ioengine,direct,iodepth,job_name,blocksize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
mdraid64k,1580447564662,randread,libaio,1,32,direct-randread-16k,0016k,1,360,1777139712,4934648,4815.852778,300.861111,0,0,0,0
mdraid64k,1580448647515,randread,libaio,1,32,direct-randread-1M,1024k,1,360,43850399744,121734977,118740.418056,115.572222,0,0,0,0
mdraid64k,1580449008586,randread,libaio,1,32,direct-randread-2M,2048k,1,360,66519564288,184625277,180113.415278,87.602778,0,0,0,0
mdraid64k,1580447925595,randread,libaio,1,32,direct-randread-32k,0032k,1,360,3508240384,9740079,9505.266667,296.869444,0,0,0,0
mdraid64k,1580446842766,randread,libaio,1,32,direct-randread-4k,0004k,1,360,449327104,1247656,1217.795833,304.3875,0,0,0,0
mdraid64k,1580448286558,randread,libaio,1,32,direct-randread-512k,0512k,1,360,25281167360,70187446,68503.845833,133.634722,0,0,0,0
mdraid64k,1580447203714,randread,libaio,1,32,direct-randread-8k,0008k,1,360,896114688,2488170,2428.494444,303.448611,0,0,0,0
mdraid64k,1580445037692,randrw,libaio,1,32,direct-randrw-16k,0016k,1,360,798588928,2217157,2163.931944,134.990278,793493504,2203010,2149.911111,134.115278
mdraid64k,1580446120678,randrw,libaio,1,32,direct-randrw-1M,1024k,1,360,20446183424,56759479,55388.316667,53.734722,20466106368,56814786,55413.433333,53.759722
mdraid64k,1580446481744,randrw,libaio,1,32,direct-randrw-2M,2048k,1,360,31725715456,88062163,85924.830556,41.593056,31664898048,87893350,85714.8375,41.490278
mdraid64k,1580445398649,randrw,libaio,1,32,direct-randrw-32k,0032k,1,360,1568145408,4353830,4249.7875,132.559722,1558740992,4327720,4223.4375,131.734722
mdraid64k,1580444315728,randrw,libaio,1,32,direct-randrw-4k,0004k,1,360,202014720,560943,547.4125,136.723611,200757248,557451,543.956944,135.859722
mdraid64k,1580445759678,randrw,libaio,1,32,direct-randrw-512k,0512k,1,360,11648106496,32334384,31548.620833,61.261111,11612979200,32236873,31453.443056,61.075
mdraid64k,1580444676707,randrw,libaio,1,32,direct-randrw-8k,0008k,1,360,401711104,1115383,1088.922222,135.990278,399024128,1107923,1081.425,135.051389
mdraid64k,1580450091630,randwrite,libaio,1,32,direct-randwrite-16k,0016k,1,360,0,0,0,0,1462321152,4059759,3962.356944,247.473611
mdraid64k,1580451174598,randwrite,libaio,1,32,direct-randwrite-1M,1024k,1,360,0,0,0,0,38700843008,107428037,104817.768056,102.069444
mdraid64k,1580451535762,randwrite,libaio,1,32,direct-randwrite-2M,2048k,1,360,0,0,0,0,61354278912,170240814,166111.015278,80.752778
mdraid64k,1580450452597,randwrite,libaio,1,32,direct-randwrite-32k,0032k,1,360,0,0,0,0,2877915136,7989925,7799.279167,243.577778
mdraid64k,1580449369652,randwrite,libaio,1,32,direct-randwrite-4k,0004k,1,360,0,0,0,0,371146752,1030470,1005.775,251.347222
mdraid64k,1580450813545,randwrite,libaio,1,32,direct-randwrite-512k,0512k,1,360,0,0,0,0,21778923520,60460565,58976.279167,114.815278
mdraid64k,1580449730661,randwrite,libaio,1,32,direct-randwrite-8k,0008k,1,360,0,0,0,0,738615296,2050638,2001.725,250.1
mdraid64k,1580442511426,read,libaio,1,32,direct-read-16k,0016k,1,360,52448133120,145688044,142158.111111,8884.786111,0,0,0,0
mdraid64k,1580443593800,read,libaio,1,32,direct-read-1M,1024k,1,360,192780697600,535406754,522390.427778,509.811111,0,0,0,0
mdraid64k,1580443954686,read,libaio,1,32,direct-read-2M,2048k,1,360,193789427712,538112636,525035.997222,256.145833,0,0,0,0
mdraid64k,1580442872177,read,libaio,1,32,direct-read-32k,0032k,1,360,92944596992,258175850,251906.297222,7871.973611,0,0,0,0
mdraid64k,1580441789891,read,libaio,1,32,direct-read-4k,0004k,1,360,16993714176,47204368,46061.779167,11515.254167,0,0,0,0
mdraid64k,1580443232981,read,libaio,1,32,direct-read-512k,0512k,1,360,193396736000,537165407,524141.151389,1023.409722,0,0,0,0
mdraid64k,1580442150639,read,libaio,1,32,direct-read-8k,0008k,1,360,31703891968,88065632,85918.997222,10739.690278,0,0,0,0
mdraid64k,1580439985816,write,libaio,1,32,direct-write-16k,0016k,1,360,0,0,0,0,28064120832,77954375,76056.7375,4753.3375
mdraid64k,1580441068189,write,libaio,1,32,direct-write-1M,1024k,1,360,0,0,0,0,192969441280,535932437,523110.944444,510.663889
mdraid64k,1580441429117,write,libaio,1,32,direct-write-2M,2048k,1,360,0,0,0,0,193411940352,537064433,524117.352778,255.747222
mdraid64k,1580440346598,write,libaio,1,32,direct-write-32k,0032k,1,360,0,0,0,0,60861579264,169055246,164971.809722,5155.180556
mdraid64k,1580439264296,write,libaio,1,32,direct-write-4k,0004k,1,360,0,0,0,0,5556207616,15433652,15058.647222,3764.506944
mdraid64k,1580440707374,write,libaio,1,32,direct-write-512k,0512k,1,360,0,0,0,0,193248362496,536753295,523767.706944,1022.706944
mdraid64k,1580439625073,write,libaio,1,32,direct-write-8k,0008k,1,360,0,0,0,0,13557227520,37658756,36751.234722,4593.75
