Reads,  ReadMerges, Writes, WriteMerges
     170,        0,    54573,      135
     334,        0,    50333,      160
     177,        0,    83100,      232
     308,        0,    84099,      222
     254,        0,    86054,      217
     532,        0,    82147,      218
     206,        0,    78977,      191
     163,        0,    74577,      178
     244,        0,    72584,      164
     485,        0,    67550,      161
     235,        0,    68166,      158
     381,        0,    66747,      152
     226,        0,    66986,      153
     338,        0,    67771,      155
     214,        0,    67220,      154
     235,        0,    67048,      151
     257,        0,    65898,      150
     436,        0,    62883,      135
     414,        0,    62567,      136
      67,        0,    15780,       33
    6405,       44,       79,        0
    5747,       36,       80,        0
    5365,       38,       83,        0
    5093,       34,       81,        0
    4838,       33,       80,        0
    4974,       30,       84,        0
    5064,       31,       80,        0
    4962,       29,       80,        0
    5039,       30,      106,        0
    5008,       30,       91,        0
    4971,       30,       80,        0
    5056,       31,       84,        0
    5016,       28,       84,        0
    4926,       28,      336,        1
    4898,       28,      212,        0
    4617,       26,       84,        0
    4854,       31,       80,        0
    4967,       29,       84,        0
