zfs_config,timestamp,pattern,blocksize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
mirror,1579443410056,randread,128k,12,180,169943891968,941188903,2424.897248,18.894605,0,0,0,0
mirror,1579334644449,randread,128k,1,180,66428207104,368975899,11236.249127,87.73175,0,0,0,0
mirror,1579381512975,randread,128k,2,180,108655673344,603552096,9200.271123,71.826245,0,0,0,0
mirror,1579389667015,randread,128k,4,180,146028625920,810864711,6185.222543,48.273826,0,0,0,0
mirror,1579435215453,randread,128k,8,180,169318154240,939695834,3591.600174,28.011891,0,0,0,0
mirror,1579442864256,randread,16k,12,180,21446967296,118859932,305.367827,19.039584,0,0,0,0
mirror,1579334101975,randread,16k,1,180,8909324288,49484149,1507.098996,94.104496,0,0,0,0
mirror,1579380970356,randread,16k,2,180,14170554368,78707811,1199.318281,74.91962,0,0,0,0
mirror,1579389123765,randread,16k,4,180,18562760704,103092084,786.124975,49.086992,0,0,0,0
mirror,1579434671301,randread,16k,8,180,21373304832,118643031,453.31199,28.283658,0,0,0,0
mirror,1579443774446,randread,1M,12,180,387489726464,2142934634,6045.895463,5.854078,0,0,0,0
mirror,1579335006082,randread,1M,1,180,199177011200,1106256241,33719.583326,32.885443,0,0,0,0
mirror,1579381874821,randread,1M,2,180,307490717696,1707029943,26096.224001,25.437226,0,0,0,0
mirror,1579390029661,randread,1M,4,180,376969363456,2089422138,16072.644744,15.645431,0,0,0,0
mirror,1579435578799,randread,1M,8,180,405653159936,2246315660,8842.522876,8.583074,0,0,0,0
mirror,1579443957061,randread,2M,12,180,405677277184,2242190456,8819.097501,4.255564,0,0,0,0
mirror,1579335186920,randread,2M,1,180,201024602112,1116350602,33923.696606,16.5102,0,0,0,0
mirror,1579382055759,randread,2M,2,180,324064509952,1799348754,27434.125286,13.348576,0,0,0,0
mirror,1579390210961,randread,2M,4,180,394979704832,2189599725,16949.417607,8.2263,0,0,0,0
mirror,1579435760538,randread,2M,8,180,427290525696,2367483506,10284.72614,4.972109,0,0,0,0
mirror,1579443045909,randread,32k,12,180,42636902400,236619286,607.8283,18.944585,0,0,0,0
mirror,1579334282821,randread,32k,1,180,17690230784,98265411,2993.028546,93.489568,0,0,0,0
mirror,1579381151245,randread,32k,2,180,28188377088,156565562,2386.009409,74.516893,0,0,0,0
mirror,1579389304857,randread,32k,4,180,37026791424,205587896,1567.493906,48.935963,0,0,0,0
mirror,1579434852620,randread,32k,8,180,42497867776,235894823,901.537535,28.124061,0,0,0,0
mirror,1579442500315,randread,4k,12,180,7200628736,39954659,102.60416,25.611632,0,0,0,0
mirror,1579333740354,randread,4k,1,180,3396390912,18866637,579.088731,144.73372,0,0,0,0
mirror,1579380608564,randread,4k,2,180,5193334784,28844168,440.537846,110.089903,0,0,0,0
mirror,1579388761728,randread,4k,4,180,6394089472,35510093,271.309996,67.788563,0,0,0,0
mirror,1579434308454,randread,4k,8,180,7173472256,39826294,152.026073,37.966537,0,0,0,0
mirror,1579443592113,randread,512k,12,180,319437144064,1770176188,4718.223881,9.164918,0,0,0,0
mirror,1579334825246,randread,512k,1,180,159639404544,886742716,27094.122181,52.876409,0,0,0,0
mirror,1579381693879,randread,512k,2,180,239802515456,1331710911,20330.374,39.666269,0,0,0,0
mirror,1579389848267,randread,512k,4,180,299565056000,1661803766,12754.777072,24.862171,0,0,0,0
mirror,1579435396902,randread,512k,8,180,327428866048,1816324768,7008.251819,13.638174,0,0,0,0
mirror,1579443227851,randread,64k,12,180,85667676160,474939438,1221.100234,19.031133,0,0,0,0
mirror,1579334463634,randread,64k,1,180,34720186368,192868494,5875.02314,91.752008,0,0,0,0
mirror,1579381332111,randread,64k,2,180,55766155264,309753464,4720.110036,73.700617,0,0,0,0
