zfs_config,timestamp,pattern,config,blocksize,filesize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
raidz1,1579503280364,randread,mach2_zfs_raidz1,128k,64G,12,180,81438834688,452382679,36887.220051,288.070249,0,0,0,0
raidz1,1579596610199,randread,mach2_zfs_raidz1,128k,64G,16,180,141293912064,784874609,47808.446336,373.417506,0,0,0,0
raidz1,1579469801071,randread,mach2_zfs_raidz1,128k,64G,1,180,33839906816,187997393,183387.986111,1432.602778,0,0,0,0
raidz1,1579605679368,randread,mach2_zfs_raidz1,128k,64G,24,180,61499506688,341627865,13960.189657,109.01287,0,0,0,0
raidz1,1579614283779,randread,mach2_zfs_raidz1,128k,64G,28,180,45678854144,253716440,8874.222077,69.202875,0,0,0,0
raidz1,1579477935865,randread,mach2_zfs_raidz1,128k,64G,2,180,41659793408,231427868,112848.004167,881.511111,0,0,0,0
raidz1,1579486070805,randread,mach2_zfs_raidz1,128k,64G,4,180,64109674496,356141115,86825.478472,678.170833,0,0,0,0
raidz1,1579494676857,randread,mach2_zfs_raidz1,128k,64G,8,180,88408719360,491115897,59842.941319,467.414583,0,0,0,0
raidz1,1579502738087,randread,mach2_zfs_raidz1,16k,64G,12,180,10594500608,58853432,4779.175967,298.664969,0,0,0,0
raidz1,1579596067896,randread,mach2_zfs_raidz1,16k,64G,16,180,12602703872,70006076,4261.852875,266.30172,0,0,0,0
raidz1,1579469258744,randread,mach2_zfs_raidz1,16k,64G,1,180,3947741184,21930677,21391.136111,1336.808333,0,0,0,0
raidz1,1579605137020,randread,mach2_zfs_raidz1,16k,64G,24,180,13619134464,75653031,3066.895937,191.582591,0,0,0,0
raidz1,1579613741294,randread,mach2_zfs_raidz1,16k,64G,28,180,13717553152,76190850,2646.13125,165.271627,0,0,0,0
raidz1,1579477393668,randread,mach2_zfs_raidz1,16k,64G,2,180,3622027264,20120920,9805.172222,612.606944,0,0,0,0
raidz1,1579485528564,randread,mach2_zfs_raidz1,16k,64G,4,180,5303173120,29460272,7183.589013,448.77886,0,0,0,0
raidz1,1579494134635,randread,mach2_zfs_raidz1,16k,64G,8,180,8641511424,48005729,5848.687847,365.495833,0,0,0,0
raidz1,1579503641925,randread,mach2_zfs_raidz1,1M,64G,12,180,87731208192,487336037,39591.240113,38.605226,0,0,0,0
raidz1,1579596971795,randread,mach2_zfs_raidz1,1M,64G,16,180,112023568384,622228711,37923.548524,36.943256,0,0,0,0
raidz1,1579470162528,randread,mach2_zfs_raidz1,1M,64G,1,180,38525730816,214030648,209582.033613,204.464986,0,0,0,0
raidz1,1579606041009,randread,mach2_zfs_raidz1,1M,64G,24,180,114643959808,636705727,25854.753683,25.187381,0,0,0,0
raidz1,1579614645476,randread,mach2_zfs_raidz1,1M,64G,28,180,109139984384,606070615,21100.299498,20.530606,0,0,0,0
raidz1,1579478297315,randread,mach2_zfs_raidz1,1M,64G,2,180,37816893440,210078680,102667.229692,100.082633,0,0,0,0
raidz1,1579486432268,randread,mach2_zfs_raidz1,1M,64G,4,180,51462012928,285890542,69674.758935,67.88227,0,0,0,0
raidz1,1579495038411,randread,mach2_zfs_raidz1,1M,64G,8,180,79917219840,443935228,54070.041798,52.650861,0,0,0,0
raidz1,1579503822750,randread,mach2_zfs_raidz1,2M,64G,12,180,97886666752,543612470,44298.841121,21.538222,0,0,0,0
raidz1,1579597152653,randread,mach2_zfs_raidz1,2M,64G,16,180,124893790208,693665558,42435.688829,20.668829,0,0,0,0
raidz1,1579470343315,randread,mach2_zfs_raidz1,2M,64G,1,180,52017758208,288912107,282181.723464,137.581006,0,0,0,0
raidz1,1579606221922,randread,mach2_zfs_raidz1,2M,64G,24,180,116740063232,648138217,26444.46593,12.83585,0,0,0,0
raidz1,1579614826418,randread,mach2_zfs_raidz1,2M,64G,28,180,118870769664,660041142,23228.404828,11.287759,0,0,0,0
raidz1,1579478478080,randread,mach2_zfs_raidz1,2M,64G,2,180,47695527936,264935414,129273.779494,62.817416,0,0,0,0
raidz1,1579486613026,randread,mach2_zfs_raidz1,2M,64G,4,180,77219233792,428926638,104411.392556,50.866573,0,0,0,0
raidz1,1579495219217,randread,mach2_zfs_raidz1,2M,64G,8,180,95563022336,530784778,64473.177094,31.338989,0,0,0,0
raidz1,1579502918842,randread,mach2_zfs_raidz1,32k,64G,12,180,24505155584,136126140,11052.174306,345.272685,0,0,0,0
raidz1,1579596248648,randread,mach2_zfs_raidz1,32k,64G,16,180,30838390784,171302504,10432.959722,325.951042,0,0,0,0
raidz1,1579469439501,randread,mach2_zfs_raidz1,32k,64G,1,180,9456844800,52528980,51250.288889,1601.433333,0,0,0,0
raidz1,1579605317807,randread,mach2_zfs_raidz1,32k,64G,24,180,34265890816,190336452,7723.177683,241.291932,0,0,0,0
raidz1,1579613922119,randread,mach2_zfs_raidz1,32k,64G,28,180,34478784512,191513692,6654.807124,207.913583,0,0,0,0
raidz1,1579477574387,randread,mach2_zfs_raidz1,32k,64G,2,180,9036464128,50198953,24510.74548,765.795549,0,0,0,0
raidz1,1579485709322,randread,mach2_zfs_raidz1,32k,64G,4,180,13371047936,74276584,18107.200694,565.779861,0,0,0,0
raidz1,1579494315385,randread,mach2_zfs_raidz1,32k,64G,8,180,19653787648,109174972,13306.370486,415.763194,0,0,0,0
raidz1,1579502376578,randread,mach2_zfs_raidz1,4k,64G,12,180,1627615232,9041151,736.059302,183.915349,0,0,0,0
raidz1,1579595706379,randread,mach2_zfs_raidz1,4k,64G,16,180,2015404032,11195382,684.140538,170.977304,0,0,0,0
raidz1,1579468897345,randread,mach2_zfs_raidz1,4k,64G,1,180,395055104,2194628,2139.244444,534.766667,0,0,0,0
raidz1,1579604775467,randread,mach2_zfs_raidz1,4k,64G,24,180,2311245824,12835690,523.604505,130.764967,0,0,0,0
raidz1,1579613379668,randread,mach2_zfs_raidz1,4k,64G,28,180,2359087104,13103346,457.859772,114.423885,0,0,0,0
raidz1,1579477032199,randread,mach2_zfs_raidz1,4k,64G,2,180,389480448,2163660,1053.1125,263.204167,0,0,0,0
raidz1,1579485167107,randread,mach2_zfs_raidz1,4k,64G,4,180,562851840,3126885,762.293872,190.502786,0,0,0,0
raidz1,1579493773140,randread,mach2_zfs_raidz1,4k,64G,8,180,1275224064,7084145,864.63855,216.026839,0,0,0,0
raidz1,1579503461125,randread,mach2_zfs_raidz1,512k,64G,12,180,51916570624,288378931,23424.123474,45.571362,0,0,0,0
raidz1,1579596791007,randread,mach2_zfs_raidz1,512k,64G,16,180,64010846208,355526930,21649.946803,42.220187,0,0,0,0
raidz1,1579469981793,randread,mach2_zfs_raidz1,512k,64G,1,180,25702694912,142784023,139399.222841,272.130919,0,0,0,0
raidz1,1579605860185,randread,mach2_zfs_raidz1,512k,64G,24,180,68944920576,382923096,15562.089349,30.349349,0,0,0,0
raidz1,1579614464608,randread,mach2_zfs_raidz1,512k,64G,28,180,68833247232,382249781,13328.084709,25.956167,0,0,0,0
raidz1,1579478116588,randread,mach2_zfs_raidz1,512k,64G,2,180,22576365568,125417285,61372.215989,119.611501,0,0,0,0
raidz1,1579486251549,randread,mach2_zfs_raidz1,512k,64G,4,180,32266256384,179239056,43748.675543,85.219341,0,0,0,0
raidz1,1579494857643,randread,mach2_zfs_raidz1,512k,64G,8,180,42138599424,234040919,28524.744382,55.631671,0,0,0,0
raidz1,1579503099597,randread,mach2_zfs_raidz1,64k,64G,12,180,51900579840,288306122,23411.283565,365.599306,0,0,0,0
raidz1,1579596429422,randread,mach2_zfs_raidz1,64k,64G,16,180,63788482560,354335182,21580.969618,337.159028,0,0,0,0
raidz1,1579469620295,randread,mach2_zfs_raidz1,64k,64G,1,180,21117075456,117294278,114448.369444,1788.138889,0,0,0,0
raidz1,1579605498594,randread,mach2_zfs_raidz1,64k,64G,24,180,69097881600,383819547,15572.503472,243.277662,0,0,0,0
raidz1,1579614102982,randread,mach2_zfs_raidz1,64k,64G,28,180,69393055744,385358551,13399.547872,209.310051,0,0,0,0
raidz1,1579477755131,randread,mach2_zfs_raidz1,64k,64G,2,180,20509949952,113932773,55618.022253,868.828929,0,0,0,0
