zfs_config,timestamp,pattern,blocksize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
raidz1,1579503280364,,,,,81438834688,452382679,36887.220051,288.070249,0,0,0,0
raidz1,1579469801071,,,,,33839906816,187997393,183387.986111,1432.602778,0,0,0,0
raidz1,1579477935865,,,,,41659793408,231427868,112848.004167,881.511111,0,0,0,0
raidz1,1579486070805,,,,,64109674496,356141115,86825.478472,678.170833,0,0,0,0
raidz1,1579494676857,,,,,88408719360,491115897,59842.941319,467.414583,0,0,0,0
raidz1,1579502738087,,,,,10594500608,58853432,4779.175967,298.664969,0,0,0,0
raidz1,1579469258744,,,,,3947741184,21930677,21391.136111,1336.808333,0,0,0,0
raidz1,1579477393668,,,,,3622027264,20120920,9805.172222,612.606944,0,0,0,0
raidz1,1579485528564,,,,,5303173120,29460272,7183.589013,448.77886,0,0,0,0
raidz1,1579494134635,,,,,8641511424,48005729,5848.687847,365.495833,0,0,0,0
raidz1,1579503641925,,,,,87731208192,487336037,39591.240113,38.605226,0,0,0,0
raidz1,1579470162528,,,,,38525730816,214030648,209582.033613,204.464986,0,0,0,0
raidz1,1579478297315,,,,,37816893440,210078680,102667.229692,100.082633,0,0,0,0
raidz1,1579486432268,,,,,51462012928,285890542,69674.758935,67.88227,0,0,0,0
raidz1,1579495038411,,,,,79917219840,443935228,54070.041798,52.650861,0,0,0,0
raidz1,1579503822750,,,,,97886666752,543612470,44298.841121,21.538222,0,0,0,0
raidz1,1579470343315,,,,,52017758208,288912107,282181.723464,137.581006,0,0,0,0
raidz1,1579478478080,,,,,47695527936,264935414,129273.779494,62.817416,0,0,0,0
raidz1,1579486613026,,,,,77219233792,428926638,104411.392556,50.866573,0,0,0,0
raidz1,1579495219217,,,,,95563022336,530784778,64473.177094,31.338989,0,0,0,0
raidz1,1579502918842,,,,,24505155584,136126140,11052.174306,345.272685,0,0,0,0
raidz1,1579469439501,,,,,9456844800,52528980,51250.288889,1601.433333,0,0,0,0
raidz1,1579477574387,,,,,9036464128,50198953,24510.74548,765.795549,0,0,0,0
raidz1,1579485709322,,,,,13371047936,74276584,18107.200694,565.779861,0,0,0,0
raidz1,1579494315385,,,,,19653787648,109174972,13306.370486,415.763194,0,0,0,0
raidz1,1579502376578,,,,,1627615232,9041151,736.059302,183.915349,0,0,0,0
raidz1,1579468897345,,,,,395055104,2194628,2139.244444,534.766667,0,0,0,0
raidz1,1579477032199,,,,,389480448,2163660,1053.1125,263.204167,0,0,0,0
raidz1,1579485167107,,,,,562851840,3126885,762.293872,190.502786,0,0,0,0
raidz1,1579493773140,,,,,1275224064,7084145,864.63855,216.026839,0,0,0,0
raidz1,1579503461125,,,,,51916570624,288378931,23424.123474,45.571362,0,0,0,0
raidz1,1579469981793,,,,,25702694912,142784023,139399.222841,272.130919,0,0,0,0
raidz1,1579478116588,,,,,22576365568,125417285,61372.215989,119.611501,0,0,0,0
raidz1,1579486251549,,,,,32266256384,179239056,43748.675543,85.219341,0,0,0,0
raidz1,1579494857643,,,,,42138599424,234040919,28524.744382,55.631671,0,0,0,0
raidz1,1579503099597,,,,,51900579840,288306122,23411.283565,365.599306,0,0,0,0
raidz1,1579469620295,,,,,21117075456,117294278,114448.369444,1788.138889,0,0,0,0
raidz1,1579477755131,,,,,20509949952,113932773,55618.022253,868.828929,0,0,0,0
raidz1,1579485890050,,,,,30573199360,169837897,41411.525694,646.976389,0,0,0,0
raidz1,1579494496126,,,,,42045079552,233563014,28468.788194,444.6375,0,0,0,0
raidz1,1579502557332,,,,,4865990656,27029377,2193.988194,274.139815,0,0,0,0
raidz1,1579469078036,,,,,1362870272,7571459,7391.29805,923.816156,0,0,0,0
raidz1,1579477212931,,,,,1290633216,7169746,3491.902778,436.306944,0,0,0,0
raidz1,1579485347823,,,,,1897390080,10540646,2568.230716,320.872828,0,0,0,0
raidz1,1579493953886,,,,,3912073216,21731929,2646.550886,330.775964,0,0,0,0
raidz1,1579501653019,,,,,35917529088,199518551,16190.470833,126.440972,35937845248,199631405,16201.557176,126.527315
